,PER,LOC,ORG,DAT
3924, محمد مرسی رابعه عدویه, کلمبیا, بیوک کادیلاک شورلت شورلت, شصت و هفتاد میلادی
3925, محمد مرسی عدلی منصور, بولیوی ایالت آلاسکا, دولت جمهوری اسلامی ایران جنرال موتورز, تا سال ۱۹۲۰
3926, ویلیام رمزی جان استرات, شاخ آفریقا منطقه شرقی قاره آفریقا, نیسان, در دهه ۶۰
3927, عباسقلی گلشائیان, سودان جیبوتی اریتره سومالی کنیا, سایپا, در دهه ۷۰ اوایل دهه ۸۰
3928, دکتر مصدق مظفر بقائی ابوالحسن حائری‌زاده, آکسام ایتالیا, جنرال موتورز پونتیاک, سال ۱۲۸۵
3929, علی منصور, اریتره, دانشگاه کالج لندن, تا دوره‌های بعد
3930, سرلشکر رزم‌آرا, یونان دین رسمی, رژیم غذایی رژیم غذایی مدیترانه‌ای, در ۱۲ مرداد ۱۲۹۰
3931, سید ضیاءالدین طباطبائی, یمن دریای سرخ, دانشگاه کرنل, از سال ۱۳۳۸
3932, سید ضیاء دکتر مصدق سید ضیاء, کشور پرتغال, باشگاه فوتبال سپیدرود رشت, در روز چهارم بهمن سال
3933, ویلیام ناکس دارسی مظفرالدین‌شاه قاجار, آند, لیگ یک فوتبال ایران ملوان بندرانزلی, دو روز بعد در روز ششم بهمن
3934, نادرشاه افشار شاه اسماعیل, کوه‌های آند ساحل جنوبی, مس کرمان, در ۶ بهمن ۱۳۴۱
3935, میرزا مهدی خان استرآبادی نادرقلی, رشته‌کوه آند, دانشگاه شیراز دانشکده کشاورزی, در تاریخ ۲۷ فروردین ۱۳۴۲
3936, محمود افغان شاه سلطان حسین, آمریکای جنوبی آمریکای جنوبی, سازمان جوانان مترقی حزب دموکراتیک خلق افغانستان, در چهار دوره از سال ۱۳۵۷
3937, شاه سلطان حسین شاه تهماسب دوم, خلیج سان‌فرانسیسکو, شعله جاوید سازمان جوانان مترقی, ۱۲ ژانویه
3938, محمود افغان اشرف افغان, منطقه خلیج سانفرانسیسکو, حزب اسلامی گلبدین, ۲۳ فوریه
3939, شاه طهماسب دوم آقا محمدخان قاجار, پل گلدن گیت مجسمه آزادی, آیین, ۲۹ فوریه
3940, شاه طهماسب دوم, اوکلند, دانشگاه آزاد اراک, ۲۷ مارس
3941, شاهرخ میرزا شاه سلطان حسین صفوی, میشن آمریکای جنوبی, اراده, ۲۱ سپتامبر
3942, جین آستن جین آستن, هیت اشبری, مجله پلی بوی مجله پنت‌هاوس, ۴ دسامبر
3943, ولادمیر لنین, جزیره آلکاتراز پل گلدن گیت, دانشگاه میشیگان دانشگاه آریزونا, ۲۳ ژانویه
3944, نیکلای چرنیشفسکی کارل مارکس گئورگی پلخانف کارل کائوتسکی, فرودگاه بین‌المللی سانفرانسیسکو بی‌اریا رپید ترنزیت, فیلیپ موریس گروه آلتریا, ۱ فوریه
3945, گئورگی پلخانف, انتقال‌گر سریع منطقه خلیج, فیلیپ موریس, ۵ مارس
3946, الکساندر کرنسکی, پیچ, برق تهران, ۲۱ ژوئیه
3947, حیدرخان عمواوغلی میرزا کوچک‌خان جنگلی شیخ محمد خیابانی, سرزمین اصلی مناطق حاره استرالیا آفریقای شمالی, مجلس شورای اسلامی برق تهران برق منطقه‌ای تهران, ۲۶ ژوئیه
3948, نیکیتا سرگیویچ خروشچف استالین, میدان امیرچخماق شهر یزد, یونسکو فرهنگستان پاریس, ۱۶ سپتامبر
3949, آیزنهاور, میدان امیر چخماق, ارتش افغانستان ارتش شوروی, ۴ اکتبر
3950, تیتو, پیمان آتلانتیک شمالی, ارتش سرخ ارتش افغانستان, ۲۲ اکتبر
3951, استالین لنین, دانشگاه فنی وین, وزیر خارجه جمهوری دمکراتیک افغانستان, ۳۰ دسامبر
3952, نیکلای پادگورنی, کلیسای سنت‌استفان, جمعیت اسلامی افغانستان, 19 دسامبر
3953, برژنف, قصر شونبرون, حزب دموکراتیک خلق افغانستان وزارت داخله, آذر
3954, مائو, دانشگاه دولتی, حزب وحدت اسلامی, از آذر
3955, یوری اندروپوف, کافه سنترال, طالبان وزیر دفاع دولت موقت, در سده سوم
3956, کنستانتین چرننکو, ساحل جنوبی آمریکای جنوبی ساکرامنتو اروگوئه, سازمان سیا طالبان سازمان اطلاعات پاکستان سیا, در سده نهم میلادی
3957, امام‌زاده, بوئنوس آیرس, سازمان دیده‌بان حقوق بشر طالبان, سده ۶
3958, صدری افشار, بوئنوس آیرس استان بوئنوس آیرس, دولت ایران طالبان, در سده ۱۷ و ۱۸ میلادی
3959, سلطان مسعود طغرل بیک, کالیاری ساردینیا, طالبان دولت آمریکا, در سال ۴۲۳ میلادی
3960, آغا محمدخان قاجار لطفعلی‌خان زند, مندوسا سان بخش مرکزی, اغما, در سده ۸ و ۹
3961, پلخانف, آسونسیون پاراگوئه رود پارانا, سینتیک شیمیایی, در سده ۳
3962, نیکولاس دوم, بوئنوس آیرس کاتولیک رمی, رود, در سده ۱۵
3963, ترور تروتسکی, باغ‌وحش بوئنوس آیرس, وزیر بهداشت, در سال ۱۶۳۸
3964, رامون مرکادر, بوئنوس آیرس کوردوبا ، آرژانتین, جام حذفی فوتبال آلمان, در سال ۱۴۴۸
3965, مسعود رجوی مریم رجوی, بوئنوس آیرس روزاریو, بوندس لیگا جام حذفی آلمان, غروب
3966, زهرا مریخی, فرودگاه بین‌المللی بوئنوس آیرس فرودگاه بین‌المللی وزارت راه, المپیک لیون, در سده ۱۰ میلادی
3967, تقی شهرام مجید شریف واقفی, سیردریا سیردریا, ساواک کمیته مشترک ضد خرابکاری ساواک, در سالهای ۱۴۵ ۱۵۰۰ میلادی
3968, موسی خیابانی مسعود رجوی روح‌الله خمینی, دژ کاخ, دیده‌بان حقوق بشر, در سده ۶
3969, ابوالحسن بنی‌صدر, اتحادیه اروپا منطقه کلان‌شهری منطقه کلان‌شهری, دیده‌بان حقوق بشر دولت آمریکا, تا ۳۵۰ سال بعد
3970, محمد حنیف‌نژاد علی‌اصغر بدیع‌زادگان, سویا والنسیا بارسلون, قوه مقننه مجلس شورای اسلامی, در سال ۱۴۹۳
3971, محمد حنیف‌نژاد, دویچه وله فارسی مصر, مجلس دوم اعتدالیون, بعد از سال ۱۵۱۱ میلادی
3972, محمد حنیف‌نژاد مهدی بازرگان سحابی محمود طالقانی, اسلوواکی, مجلس چهارم حزب تجدد, سال ۱۳۸۳ سال در سال ۱۳۸۳
3973, مسعود رجوی رهبری, سان سالوادور, حزب حزب نازی, از سال ۱۳۴۲ در سال ۱۳۸۳
3974, تقی شهرام, سان سالوادور منطقه کلان‌شهری سان سالوادور, مجمع ملی فرانسه, در سال ۱۳۸۳ سال ۸۳
3975, مسعود رجوی موسی خیابانی, سان سالوادور آزتک مکزیک, اوپل, در سال ۱۳۹۱ در روزهای پایانی سال
3976, مجید شریف واقفی, آسه آن انجمن ملل آسیای جنوب شرقی, سازمان کشورهای آمریکایی, در اردیبهشت ۱۳۹۱ نهمین
3977, تراب حق‌شناس, باتاویا, امپراتور روم سنای روم, از ۱۲ هزار سال
3978, طالقانی, جزیره جاوه دریای جاوه, ارتش جمهوری‌خواه ایرلند, ، دوشنبه ۱۳ مهر
3979, آیت‌الله خمینی آیت‌الله خمینی مسعود رجوی, دنیپر, دانشگاه جورجیا, سال ۱۳۶۲
3980, محمدرضا سعادتی, استان کیف, مک‌دونالدز, در روز ۱۲ فروردین
3981, محمد حسینی بهشتی, اروپای شرقی مسیحیت ارتدوکس کلیسای جامع, دانشگاه ویک فارست, ۸۰۰ هزار سال قبل
3982, محمدجواد باهنر, اوگاندا انتبه, حزب کمونیست ویتنام, ۱۰۰ هزار سال
3983, مسعود رجوی ابوالحسن بنی‌صدر, دریاچه ویکتوریا, مجلس ملی فلسطین سازمان آزادی‌بخش فلسطین, هزاره اول
3984, محمدعلی رجایی محمدجواد باهنر, بوگاندا, دانشگاه ایالتی میشیگان, در سال ۱۳۲۳
3985, امام‌جمعه, گالوی واترفورد, ارتش سلطنتی ژاپن, درسال ۱۳۳۵
3986, موسی خیابانی موسی خیابانی مسعود رجوی, نروژ, دانشگاه کارلف, در سال ۱۳۳۹ سال
3987, صدام مجاهدین, جزیره ایرلند بریتانیا, ناتینگهام فارست, در سال ۱۳۵۹ تا سال ۱۳۶۲
3988, محمد خاتمی محمد خاتمی, بلفاست کاتولیک, دانشگاه آلاباما, در تاریخ ۱۴/۵/۱۳۶۸ در ۱۴/۱/۶۹
3989, مارتین ایندیک, فرودگاه دوبلین دورن, ارتش جمهوری اسلامی ایران دانشگاه تهران موسسه ژئوفیزیک شورای فرهنگ عمومی, در تاریخ ۷۴/۳/۲۱
3990, جیمز جونز باراک اوباما, فرودگاه دوبلین آمریکا کانادا خاورمیانه, تیم ملی فوتبال زامبیا, درسال ۱۳۸۰
3991, رجوی مسعود رجوی, فرودگاه دوبلین, انجمن بین‌المللی طراحان گرافیک, درسال ۱۳۸۱ در سال ۱۳۸۲
3992, مریم رجوی زهرا مریخی, شهرستان دوبلین, تحت الحمایگی, درسال ۱۳۸۴
3993, مریم رجوی مسعود رجوی, انگلستان لهستان لیتوانی, اتحادیه بین‌المللی مخابرات, در اسفند سال ۱۳۸۵
3994, اخضر ابراهیمی, چین نیجریه, سنای فرانسه, درسال ۱۳۸۷
3995, خلیل بن احمد, ادینبرو آیووا سیتی, ساینس, درسال ۱۳۸۹
3996, خلیل فراهیدی, ریودوژانیرو, نامکو, درسال ۱۳۹۱ در روز ۲۲ بهمن سال
3997, احمد بن موسی موسی کاظم محمد بن موسی علی بن موسی‌الرضا, دا پارک شهر, دانشگاه هیوستون, درسال ۱۳۰۶
3998, سیدمیرمحمد سیدمیراحمد, سانتا ماریا, سازمان وحدت آفریقا اتحادیه آفریقا, تا چند سال قبل
3999, موسی کاظم امام هفتم, ناحیه فدرال, باشگاه فوتبال سلتیک, از سال ۱۳۰۵ هجری
4000, عیسی بهادری, گویانیا سائوپائولو, شرکت خودروسازی فورد, تا سال ۱۹۹۱
